year,month,day,user_login,taxonomy,genus,species,common_name
2023,02,24,dune_ninja,Mammalia-Artiodactyla-Bovidae,Aepyceros,melampus,Common Impala
2023,03,07,roman_burkardt,Mammalia-Artiodactyla-Hippopotamidae,Hippopotamus,amphibius,Common Hippopotamus
2023,02,13,tom_riggle,Mammalia-Artiodactyla-Bovidae,Kobus,leche,Red Lechwe
2023,02,13,tom_riggle,Mammalia-Artiodactyla-Bovidae,Raphicerus,campestris,Steenbok
2022,07,28,sabinaphilippe,Mammalia-Artiodactyla-Hippopotamidae,Hippopotamus,amphibius,Common Hippopotamus
2022,07,28,sabinaphilippe,Mammalia-Artiodactyla-Bovidae,Tragelaphus,spekii,Southern Sitatunga
2022,12,12,rogerioferreira,Mammalia-Artiodactyla-Bovidae,Sylvicapra,grimmia,Bush Duiker
2021,03,16,thom00774,Mammalia-Artiodactyla-Hippopotamidae,Hippopotamus,amphibius,Common Hippopotamus
2022,11,04,rogerioferreira,Mammalia-Artiodactyla-Hippopotamidae,Hippopotamus,amphibius,Common Hippopotamus
2012,09,01,tadkawecki,Mammalia-Artiodactyla-Bovidae,Kobus,leche,Red Lechwe
2022,09,03,vdeboutte,Mammalia-Artiodactyla-Bovidae,Syncerus,caffer,Forest Buffalo
2022,10,15,rogerioferreira,Mammalia-Artiodactyla-Bovidae,Hippotragus,niger,Giant Sable Antelope
2022,10,08,joachim,Mammalia-Artiodactyla-Bovidae,Syncerus,caffer,Forest Buffalo
2022,10,08,joachim,Mammalia-Artiodactyla-Bovidae,Redunca,arundinum,Southern Reedbuck
2022,10,09,joachim,Mammalia-Artiodactyla-Bovidae,Connochaetes,taurinus,Blue Wildebeest
2022,10,10,joachim,Mammalia-Artiodactyla-Bovidae,Connochaetes,taurinus,Blue Wildebeest
2022,10,08,joachim,Mammalia-Artiodactyla-Bovidae,Syncerus,caffer,Forest Buffalo
2007,06,29,omateus,Mammalia-Artiodactyla-Bovidae,Philantomba,monticola,Blue Duiker
2022,08,19,tonyrebelo,Mammalia-Artiodactyla-Bovidae,Syncerus,caffer,Forest Buffalo
2022,08,19,tonyrebelo,Mammalia-Artiodactyla-Bovidae,Syncerus,caffer,Forest Buffalo
2022,08,19,tonyrebelo,Mammalia-Artiodactyla-Bovidae,Syncerus,caffer,Forest Buffalo
2022,08,19,tonyrebelo,Mammalia-Artiodactyla-Bovidae,Kobus,leche,Red Lechwe
2022,08,19,tonyrebelo,Mammalia-Artiodactyla-Hippopotamidae,Hippopotamus,amphibius,Common Hippopotamus
2022,08,19,tonyrebelo,Mammalia-Artiodactyla-Bovidae,Syncerus,caffer,Forest Buffalo
2022,08,19,tonyrebelo,Mammalia-Artiodactyla-Bovidae,Syncerus,caffer,Forest Buffalo
2022,08,19,tonyrebelo,Mammalia-Artiodactyla-Bovidae,Syncerus,caffer,Forest Buffalo
2022,08,19,tonyrebelo,Mammalia-Artiodactyla-Hippopotamidae,Hippopotamus,amphibius,Common Hippopotamus
2022,08,19,tonyrebelo,Mammalia-Artiodactyla-Bovidae,Kobus,leche,Red Lechwe
2022,08,18,tonyrebelo,Mammalia-Artiodactyla-Hippopotamidae,Hippopotamus,amphibius,Common Hippopotamus
2022,08,18,tonyrebelo,Mammalia-Artiodactyla-Bovidae,Kobus,leche,Red Lechwe
2022,08,18,tonyrebelo,Mammalia-Artiodactyla-Bovidae,Kobus,leche,Red Lechwe
2022,08,18,tonyrebelo,Mammalia-Artiodactyla-Bovidae,Raphicerus,campestris,Steenbok
2022,07,11,marcusfrazao,Mammalia-Artiodactyla-Bovidae,Redunca,arundinum,Southern Reedbuck
2022,07,11,marcusfrazao,Mammalia-Artiodactyla-Bovidae,Redunca,arundinum,Southern Reedbuck
2022,07,11,marcusfrazao,Mammalia-Artiodactyla-Bovidae,Hippotragus,equinus,Southern Roan Antelope
2017,07,05,gigilaidler,Mammalia-Artiodactyla-Bovidae,Hippotragus,niger,Giant Sable Antelope
2017,07,05,gigilaidler,Mammalia-Artiodactyla-Bovidae,Redunca,arundinum,Southern Reedbuck
2017,07,05,gigilaidler,Mammalia-Artiodactyla-Bovidae,Kobus,leche,Red Lechwe
2017,07,05,gigilaidler,Mammalia-Artiodactyla-Hippopotamidae,Hippopotamus,amphibius,Common Hippopotamus
2017,07,05,gigilaidler,Mammalia-Artiodactyla-Bovidae,Kobus,leche,Red Lechwe
2022,08,19,nigelforshaw,Mammalia-Artiodactyla-Bovidae,Syncerus,caffer,Forest Buffalo
2022,08,19,nigelforshaw,Mammalia-Artiodactyla-Bovidae,Kobus,leche,Red Lechwe
2022,08,19,nigelforshaw,Mammalia-Artiodactyla-Hippopotamidae,Hippopotamus,amphibius,Common Hippopotamus
2022,08,19,nigelforshaw,Mammalia-Artiodactyla-Bovidae,Syncerus,caffer,Forest Buffalo
2022,08,19,nigelforshaw,Mammalia-Artiodactyla-Bovidae,Kobus,leche,Red Lechwe
2022,08,19,nigelforshaw,Mammalia-Artiodactyla-Hippopotamidae,Hippopotamus,amphibius,Common Hippopotamus
2022,08,19,nigelforshaw,Mammalia-Artiodactyla-Bovidae,Syncerus,caffer,Forest Buffalo
2022,07,13,bird0_1,Mammalia-Artiodactyla-Bovidae,Antidorcas,marsupialis,Angolan Springbok
2022,07,14,bird0_1,Mammalia-Artiodactyla-Bovidae,Antidorcas,marsupialis,Angolan Springbok
2022,06,06,rogerioferreira,Mammalia-Artiodactyla-Bovidae,Sylvicapra,grimmia,Bush Duiker
2022,06,04,peter_erb,Mammalia-Artiodactyla-Bovidae,Kobus,leche,Red Lechwe
2014,07,07,gigilaidler,Mammalia-Artiodactyla-Bovidae,Raphicerus,campestris,Steenbok
2022,01,15,rogerioferreira,Mammalia-Artiodactyla-Bovidae,Antidorcas,marsupialis,Angolan Springbok
2015,10,20,aleksandr_levon,Mammalia-Artiodactyla-Bovidae,Antidorcas,marsupialis,Angolan Springbok
2021,12,11,rogerioferreira,Mammalia-Artiodactyla-Bovidae,Oryx,gazella,Gemsbok
2021,12,12,rogerioferreira,Mammalia-Artiodactyla-Bovidae,Antidorcas,marsupialis,Angolan Springbok
2021,12,01,peter_erb,Mammalia-Artiodactyla-Bovidae,Raphicerus,campestris,Steenbok
2021,12,01,peter_erb,Mammalia-Artiodactyla-Bovidae,Sylvicapra,grimmia,Bush Duiker
2015,03,18,barrymorrison,Mammalia-Artiodactyla-Giraffidae,Giraffa,camelopardalis,Giraffe
2021,10,17,michael_mulligan,Mammalia-Artiodactyla-Bovidae,Tragelaphus,scriptus,Northern Bushbuck
2006,10,19,tranger0,Mammalia-Artiodactyla-Hippopotamidae,Hippopotamus,amphibius,Common Hippopotamus
2019,07,31,marcusfrazao,Mammalia-Artiodactyla-Suidae,Phacochoerus,africanus,Common Warthog
2015,10,26,warrenmcc,Mammalia-Artiodactyla-Bovidae,Kobus,leche,Red Lechwe
2016,12,04,joo36,Mammalia-Artiodactyla-Bovidae,Connochaetes,taurinus,Blue Wildebeest
2021,05,01,rogerioferreira,Mammalia-Artiodactyla-Bovidae,Hippotragus,niger,Giant Sable Antelope
2021,04,27,rogerioferreira,Mammalia-Artiodactyla-Bovidae,Connochaetes,taurinus,Blue Wildebeest
2021,04,27,rogerioferreira,Mammalia-Artiodactyla-Giraffidae,Giraffa,camelopardalis,Giraffe
2021,04,28,rogerioferreira,Mammalia-Artiodactyla-Bovidae,Antidorcas,marsupialis,Angolan Springbok
2016,08,05,geichhorn,Mammalia-Artiodactyla-Bovidae,Kobus,leche,Red Lechwe
2012,09,01,tadkawecki,Mammalia-Artiodactyla-Hippopotamidae,Hippopotamus,amphibius,Common Hippopotamus
2020,12,31,julesdeboutte,Mammalia-Artiodactyla-Bovidae,Cephalophus,dorsalis,Bay Duiker
2008,04,08,simontonge,Mammalia-Artiodactyla-Bovidae,Aepyceros,melampus,Common Impala
2008,08,17,lucykeith-diagne,Mammalia-Artiodactyla-Hippopotamidae,Hippopotamus,amphibius,Common Hippopotamus
2020,11,21,julesdeboutte,Mammalia-Artiodactyla-Bovidae,Sylvicapra,grimmia,Bush Duiker
2020,10,25,salr,Mammalia-Artiodactyla-Bovidae,Ourebia,ourebi,Oribi
2019,07,09,alexanderr,Mammalia-Artiodactyla-Bovidae,Oreotragus,oreotragus,Klipspringer
2017,11,27,dougmacsafaris,Mammalia-Artiodactyla-Bovidae,Connochaetes,taurinus,Blue Wildebeest
2017,11,27,dougmacsafaris,Mammalia-Artiodactyla-Bovidae,Ourebia,ourebi,Oribi
2018,02,09,bartwursten,Mammalia-Artiodactyla-Bovidae,Tragelaphus,strepsiceros,Southern Greater Kudu
2018,02,09,bartwursten,Mammalia-Artiodactyla-Bovidae,Aepyceros,melampus,Common Impala
2018,03,27,five-birds,Mammalia-Artiodactyla-Hippopotamidae,Hippopotamus,amphibius,Common Hippopotamus
2018,03,27,five-birds,Mammalia-Artiodactyla-Hippopotamidae,Hippopotamus,amphibius,Common Hippopotamus
2018,03,27,five-birds,Mammalia-Artiodactyla-Bovidae,Redunca,arundinum,Southern Reedbuck
2018,03,27,five-birds,Mammalia-Artiodactyla-Bovidae,Redunca,arundinum,Southern Reedbuck
2018,03,27,five-birds,Mammalia-Artiodactyla-Bovidae,Aepyceros,melampus,Common Impala
2019,08,27,julesdeboutte,Mammalia-Artiodactyla-Bovidae,Syncerus,caffer,Forest Buffalo
2019,09,23,julesdeboutte,Mammalia-Artiodactyla-Bovidae,Philantomba,monticola,Blue Duiker
2019,09,17,julesdeboutte,Mammalia-Artiodactyla-Suidae,Potamochoerus,porcus,Red River Hog
2019,09,20,julesdeboutte,Mammalia-Artiodactyla-Bovidae,Tragelaphus,spekii,Southern Sitatunga
2020,03,13,bedazlesa,Mammalia-Artiodactyla-Suidae,Phacochoerus,africanus,Common Warthog
2020,03,11,bedazlesa,Mammalia-Artiodactyla-Bovidae,Aepyceros,melampus,Common Impala
2020,03,11,bedazlesa,Mammalia-Artiodactyla-Bovidae,Kobus,leche,Red Lechwe
2020,03,11,bedazlesa,Mammalia-Artiodactyla-Hippopotamidae,Hippopotamus,amphibius,Common Hippopotamus
2020,03,11,bedazlesa,Mammalia-Artiodactyla-Bovidae,Aepyceros,melampus,Common Impala
2019,09,29,conoreastment,Mammalia-Artiodactyla-Giraffidae,Giraffa,camelopardalis,Giraffe
2019,09,15,marcusfrazao,Mammalia-Artiodactyla-Bovidae,Tragelaphus,scriptus,Northern Bushbuck
2019,09,15,marcusfrazao,Mammalia-Artiodactyla-Bovidae,Tragelaphus,scriptus,Northern Bushbuck
2020,02,06,peter_erb,Mammalia-Artiodactyla-Hippopotamidae,Hippopotamus,amphibius,Common Hippopotamus
2019,11,22,trotter,Mammalia-Artiodactyla-Bovidae,Hippotragus,equinus,Southern Roan Antelope
2019,03,24,janaohrner,Mammalia-Artiodactyla-Bovidae,Kobus,leche,Red Lechwe
2019,03,24,janaohrner,Mammalia-Artiodactyla-Bovidae,Kobus,leche,Red Lechwe
2017,03,24,ehbidault,Mammalia-Artiodactyla-Bovidae,Tragelaphus,scriptus,Northern Bushbuck
2019,10,01,omateus,Mammalia-Artiodactyla-Bovidae,Antidorcas,marsupialis,Angolan Springbok
2019,10,02,omateus,Mammalia-Artiodactyla-Bovidae,Oryx,gazella,Gemsbok
2019,10,07,omateus,Mammalia-Artiodactyla-Bovidae,Tragelaphus,spekii,Southern Sitatunga
2019,10,08,omateus,Mammalia-Artiodactyla-Bovidae,Hippotragus,niger,Giant Sable Antelope
2019,02,12,alvaritobaptista,Mammalia-Artiodactyla-Bovidae,Antidorcas,marsupialis,Angolan Springbok
2015,11,23,wjcrins,Mammalia-Artiodactyla-Bovidae,Aepyceros,melampus,Common Impala
2015,11,23,wjcrins,Mammalia-Artiodactyla-Bovidae,Tragelaphus,strepsiceros,Southern Greater Kudu
2015,11,23,wjcrins,Mammalia-Artiodactyla-Bovidae,Kobus,leche,Red Lechwe
2015,11,23,wjcrins,Mammalia-Artiodactyla-Suidae,Phacochoerus,africanus,Common Warthog
2015,11,23,wjcrins,Mammalia-Artiodactyla-Bovidae,Kobus,leche,Red Lechwe
2015,11,22,wjcrins,Mammalia-Artiodactyla-Bovidae,Kobus,leche,Red Lechwe
2015,11,22,wjcrins,Mammalia-Artiodactyla-Hippopotamidae,Hippopotamus,amphibius,Common Hippopotamus
2019,07,10,peter_erb,Mammalia-Artiodactyla-Bovidae,Sylvicapra,grimmia,Bush Duiker
2018,06,20,sebastianlescano,Mammalia-Artiodactyla-Hippopotamidae,Hippopotamus,amphibius,Common Hippopotamus
2019,05,22,pbeja65,Mammalia-Artiodactyla-Bovidae,Connochaetes,taurinus,Blue Wildebeest
2019,05,22,pbeja65,Mammalia-Artiodactyla-Bovidae,Connochaetes,taurinus,Blue Wildebeest
2019,05,22,pbeja65,Mammalia-Artiodactyla-Bovidae,Tragelaphus,strepsiceros,Southern Greater Kudu
2019,05,22,pbeja65,Mammalia-Artiodactyla-Bovidae,Connochaetes,taurinus,Blue Wildebeest
2019,05,22,pbeja65,Mammalia-Artiodactyla-Bovidae,Tragelaphus,strepsiceros,Southern Greater Kudu
2019,05,22,pbeja65,Mammalia-Artiodactyla-Bovidae,Damaliscus,pygargus,Blesbok
2019,05,22,pbeja65,Mammalia-Artiodactyla-Giraffidae,Giraffa,camelopardalis,Giraffe
2009,01,13,andrew_hankey,Mammalia-Artiodactyla-Bovidae,Bos,taurus,Domestic Cattle
2018,11,21,peter_erb,Mammalia-Artiodactyla-Bovidae,Kobus,leche,Red Lechwe
2018,11,21,peter_erb,Mammalia-Artiodactyla-Bovidae,Kobus,leche,Red Lechwe
2018,08,03,peltzi,Mammalia-Artiodactyla-Bovidae,Connochaetes,taurinus,Blue Wildebeest
2006,04,29,colin25,Mammalia-Artiodactyla-Bovidae,Tragelaphus,strepsiceros,Southern Greater Kudu
2006,04,29,colin25,Mammalia-Artiodactyla-Bovidae,Aepyceros,melampus,Common Impala
2006,04,29,colin25,Mammalia-Artiodactyla-Hippopotamidae,Hippopotamus,amphibius,Common Hippopotamus
2006,04,29,colin25,Mammalia-Artiodactyla-Hippopotamidae,Hippopotamus,amphibius,Common Hippopotamus
2018,02,18,rogerioferreira,Mammalia-Artiodactyla-Bovidae,Philantomba,monticola,Blue Duiker
2018,02,13,rogerioferreira,Mammalia-Artiodactyla-Bovidae,Redunca,arundinum,Southern Reedbuck
2018,02,10,luisquerido,Mammalia-Artiodactyla-Giraffidae,Giraffa,camelopardalis,Giraffe
2018,02,10,luisquerido,Mammalia-Artiodactyla-Bovidae,Tragelaphus,strepsiceros,Southern Greater Kudu
2018,02,10,rogerioferreira,Mammalia-Artiodactyla-Bovidae,Oryx,gazella,Gemsbok
2018,02,10,rogerioferreira,Mammalia-Artiodactyla-Bovidae,Tragelaphus,strepsiceros,Southern Greater Kudu
2018,02,10,luisquerido,Mammalia-Artiodactyla-Bovidae,Connochaetes,taurinus,Blue Wildebeest
2018,02,10,luisquerido,Mammalia-Artiodactyla-Bovidae,Oryx,gazella,Gemsbok
2018,02,10,rogerioferreira,Mammalia-Artiodactyla-Bovidae,Sylvicapra,grimmia,Bush Duiker
2008,01,15,rjdee88888,Mammalia-Artiodactyla-Bovidae,Tragelaphus,strepsiceros,Southern Greater Kudu
2008,01,15,rjdee88888,Mammalia-Artiodactyla-Bovidae,Aepyceros,melampus,Common Impala
2008,01,15,rjdee88888,Mammalia-Artiodactyla-Hippopotamidae,Hippopotamus,amphibius,Common Hippopotamus
2018,01,27,rogerioferreira,Mammalia-Artiodactyla-Bovidae,Tragelaphus,strepsiceros,Southern Greater Kudu
2018,01,27,rogerioferreira,Mammalia-Artiodactyla-Bovidae,Tragelaphus,strepsiceros,Southern Greater Kudu
2018,01,27,rogerioferreira,Mammalia-Artiodactyla-Bovidae,Connochaetes,taurinus,Blue Wildebeest
2017,10,24,pma,Mammalia-Artiodactyla-Bovidae,Ourebia,ourebi,Oribi
2017,10,23,pma,Mammalia-Artiodactyla-Bovidae,Connochaetes,taurinus,Blue Wildebeest
2017,10,23,pma,Mammalia-Artiodactyla-Bovidae,Ourebia,ourebi,Oribi
2017,07,01,luisquerido,Mammalia-Artiodactyla-Hippopotamidae,Hippopotamus,amphibius,Common Hippopotamus
2017,09,16,luisquerido,Mammalia-Artiodactyla-Bovidae,Aepyceros,melampus,Common Impala
2016,01,23,luisquerido,Mammalia-Artiodactyla-Bovidae,Connochaetes,taurinus,Blue Wildebeest
2015,07,05,luisquerido,Mammalia-Artiodactyla-Bovidae,Connochaetes,taurinus,Blue Wildebeest
2015,07,05,luisquerido,Mammalia-Artiodactyla-Giraffidae,Giraffa,camelopardalis,Giraffe
2017,09,16,luisquerido,Mammalia-Artiodactyla-Bovidae,Tragelaphus,strepsiceros,Southern Greater Kudu
2016,01,23,luisquerido,Mammalia-Artiodactyla-Bovidae,Tragelaphus,strepsiceros,Southern Greater Kudu
2017,07,01,luisquerido,Mammalia-Artiodactyla-Hippopotamidae,Hippopotamus,amphibius,Common Hippopotamus
2015,07,31,jadonald,Mammalia-Artiodactyla-Bovidae,Oryx,gazella,Gemsbok
2015,04,28,joachim,Mammalia-Artiodactyla-Hippopotamidae,Hippopotamus,amphibius,Common Hippopotamus
2015,04,27,joachim,Mammalia-Artiodactyla-Bovidae,Aepyceros,melampus,Common Impala
2015,07,10,john_barkla,Mammalia-Artiodactyla-Bovidae,Kobus,ellipsiprymnus,Common Waterbuck
2015,07,10,john_barkla,Mammalia-Artiodactyla-Hippopotamidae,Hippopotamus,amphibius,Common Hippopotamus
2015,10,30,joachim,Mammalia-Artiodactyla-Bovidae,Ourebia,ourebi,Oribi
2015,10,30,joachim,Mammalia-Artiodactyla-Bovidae,Redunca,arundinum,Southern Reedbuck
2015,10,30,joachim,Mammalia-Artiodactyla-Bovidae,Connochaetes,taurinus,Blue Wildebeest
2015,09,21,seasav,Mammalia-Artiodactyla-Bovidae,Antidorcas,marsupialis,Angolan Springbok
2015,09,22,seasav,Mammalia-Artiodactyla-Bovidae,Oryx,gazella,Gemsbok
2011,08,22,joachim,Mammalia-Artiodactyla-Bovidae,Oryx,gazella,Gemsbok
2011,08,22,joachim,Mammalia-Artiodactyla-Bovidae,Antidorcas,marsupialis,Angolan Springbok
2015,06,20,intotheokavango,Mammalia-Artiodactyla-Bovidae,Philantomba,monticola,Blue Duiker
2015,06,25,intotheokavango,Mammalia-Artiodactyla-Bovidae,Philantomba,monticola,Blue Duiker
2015,06,20,intotheokavango,Mammalia-Artiodactyla-Bovidae,Philantomba,monticola,Blue Duiker
2022,10,10,joachim,Mammalia-Perissodactyla-Equidae,Equus,quagga,Plains Zebra
2022,08,19,tonyrebelo,Mammalia-Perissodactyla-Equidae,Equus,quagga,Plains Zebra
2009,09,08,phiro,Mammalia-Perissodactyla-Equidae,Equus,quagga,Plains Zebra
2021,04,30,rogerioferreira,Mammalia-Perissodactyla-Equidae,Equus,quagga,Plains Zebra
2017,11,26,dougmacsafaris,Mammalia-Perissodactyla-Equidae,Equus,quagga,Plains Zebra
2019,05,22,pbeja65,Mammalia-Perissodactyla-Equidae,Equus,quagga,Plains Zebra
2018,02,10,rogerioferreira,Mammalia-Perissodactyla-Equidae,Equus,quagga,Plains Zebra
2018,01,27,rogerioferreira,Mammalia-Perissodactyla-Equidae,Equus,quagga,Plains Zebra
2017,10,24,pma,Mammalia-Perissodactyla-Equidae,Equus,quagga,Plains Zebra
2017,10,23,pma,Mammalia-Perissodactyla-Equidae,Equus,quagga,Plains Zebra
2017,10,22,pma,Mammalia-Perissodactyla-Equidae,Equus,quagga,Plains Zebra
2015,11,14,luisquerido,Mammalia-Perissodactyla-Equidae,Equus,quagga,Plains Zebra
2015,11,14,luisquerido,Mammalia-Perissodactyla-Equidae,Equus,quagga,Plains Zebra
2015,10,30,joachim,Mammalia-Perissodactyla-Equidae,Equus,quagga,Plains Zebra
